Patient	Sample	X	Y	RNA block	DNA block
SH01	SH01T04	0.6964	1.1016	1	1
SH01	SH01T01	0.86	1.7139	2	2
SH01	SH01T02	1.5238	1.7809	2	2
SH01	SH01T03	2.206	1.9777	3	1
SH01	SH01T05	0.9762	0.4864	4	1
SH02	SH02T01	1.1186	2.3412	1	1
SH02	SH02T02	1.8879	2.3715	2	1
SH02	SH02T03	1.0602	1.6325	2	1
SH02	SH02T04	2.0122	1.6343	2	1
SH02	SH02T05	2.7388	1.6903	3	2
SH02	SH02T06	0.9318	0.8284	1	2
SH02	SH02T07	1.7453	0.8986	1	2
SH03	SH03T01	0.75168	1.7286	1	1
SH03	SH03T02	0.98916	2.08092	1	1
SH03	SH03T03	1.16232	2.43396	1	1
SH03	SH03T04	0.80052	1.28388	2	2
SH03	SH03T05	1.14636	1.49112	1	2
SH03	SH03T06	1.46448	1.809	1	1
SH03	SH03T07	1.78248	2.15388	1	2
SH03	SH03T08	2.4636	2.85708	1	2
SH03	SH03T09	1.04316	0.83592	2	2
SH03	SH03T10	1.3794	1.1346	1	2
SH03	SH03T11	1.72068	1.42524	1	2
SH03	SH03T12	2.1144	1.75512	1	2
SH03	SH03T13	2.39364	2.09496	1	2
SH03	SH03T14	2.79204	2.44968	1	3
SH03	SH03T15	3.11784	2.80176	3	3
SH03	SH03T16	1.63848	0.54948	2	4
SH03	SH03T17	1.98216	0.91692	2	4
SH03	SH03T18	2.3052	1.22388	2	4
SH03	SH03T19	2.63448	1.60812	1	3
SH03	SH03T20	3.01824	1.89072	3	3
SH03	SH03T21	3.24432	2.16168	3	3
SH03	SH03T22	3.51972	2.6466	3	3
SH03	SH03T23	2.29392	0.47472	2	4
SH03	SH03T24	2.64708	0.83028	2	4
SH03	SH03T25	2.98644	1.2204	3	3
SH03	SH03T26	3.37476	1.62132	3	3
SH03	SH03T27	3.61212	1.94508	3	3
SH03	SH03T28	3.13272	0.7464	2	4
SH03	SH03T29	3.3642	1.14876	3	3
SH04	SH04T01	0.8813	2.1121	1	1
SH04	SH04T02	1.3846	2.279	1	1
SH04	SH04T03	1.8463	2.3323	2	2
SH04	SH04T04	0.7631	1.6745	1	3
SH04	SH04T05	1.1913	1.8329	1	3
SH04	SH04T06	1.6457	1.9249	1	1
SH04	SH04T07	2.1011	1.9376	3	4
SH04	SH04T08	0.5714	1.1549	4	2
SH04	SH04T09	0.9963	1.2803	1	1
SH04	SH04T10	1.4202	1.3514	1	3
SH04	SH04T11	1.85	1.4853	3	4
SH04	SH04T12	2.296	1.5173	3	4
SH04	SH04T13	0.7629	0.6869	4	2
SH04	SH04T14	1.2288	0.7826	1	1
SH04	SH04T15	1.6603	0.9072	1	3
SH04	SH04T16	2.1443	1.0291	3	4
SH04	SH04T17	1.3883	0.4141	5	3
SH04	SH04T18	1.9195	0.5449	5	3
SH05	SH05T01	1.8699	4.1191	1	1
SH05	SH05T02	2.5278	4.1379	1	1
