sample	patient	subtype	pathway	value
SH01T04	SH01	Proliferation	HALLMARK_ANGIOGENESIS	0.02711595376402115
SH01T04	SH01	Proliferation	HALLMARK_E2F_TARGETS	0.32907639253146
SH01T04	SH01	Proliferation	HALLMARK_G2M_CHECKPOINT	0.46478021605162756
SH01T04	SH01	Proliferation	HO_LIVER_CANCER_VASCULAR_INVASION	0.25909993099689155
SH01T04	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	-0.6975067506904469
SH01T04	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP	-0.06941158245313087
SH01T04	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_DN	-0.11200755371283852
SH01T04	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_UP	0.02246025165565474
SH01T04	SH01	Proliferation	ImmuneClass	0.5781102310752813
SH01T04	SH01	Proliferation	Exhaused_T_Cell	0.8098995695839895
SH01T04	SH01	Proliferation	Interferon_gamma	0.909998896369077
SH01T04	SH01	Proliferation	Antigen_presenting_cells	0.8500331052747709
SH01T04	SH01	Proliferation	Inflammatory	0.8705583756345154
SH01T04	SH01	Proliferation	Gajewski_13_gene_inflammatory	0.7368215099385409
SH01T04	SH01	Proliferation	Cytolytic_score	0.6420059582919279
SH01T04	SH01	Proliferation	MVI_6_gene	0.21763519447243176
SH01T04	SH01	Proliferation	GEP score	0.0036298239470051244
SH01T04	SH01	Proliferation	IMPRES	4
SH01T04	SH01	Proliferation	TIDE	1.29
SH01T01	SH01	Proliferation	HALLMARK_ANGIOGENESIS	0.3191794034832602
SH01T01	SH01	Proliferation	HALLMARK_E2F_TARGETS	-0.0916795231559847
SH01T01	SH01	Proliferation	HALLMARK_G2M_CHECKPOINT	0.06306087850950065
SH01T01	SH01	Proliferation	HO_LIVER_CANCER_VASCULAR_INVASION	0.17551637399998488
SH01T01	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	-0.7630025227734497
SH01T01	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP	-0.27401462087473566
SH01T01	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_DN	-0.2788075352515916
SH01T01	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_UP	-0.05315730067518243
SH01T01	SH01	Proliferation	ImmuneClass	0.7055476797731188
SH01T01	SH01	Proliferation	Exhaused_T_Cell	0.7586359121510615
SH01T01	SH01	Proliferation	Interferon_gamma	0.7953868226465628
SH01T01	SH01	Proliferation	Antigen_presenting_cells	0.8961597881262398
SH01T01	SH01	Proliferation	Inflammatory	0.7929816817479542
SH01T01	SH01	Proliferation	Gajewski_13_gene_inflammatory	0.7661497295706983
SH01T01	SH01	Proliferation	Cytolytic_score	0.7816396336753721
SH01T01	SH01	Proliferation	MVI_6_gene	0.2015827163748232
SH01T01	SH01	Proliferation	GEP score	0.021099075816257896
SH01T01	SH01	Proliferation	IMPRES	4
SH01T01	SH01	Proliferation	TIDE	0.71
SH01T02	SH01	Proliferation	HALLMARK_ANGIOGENESIS	0.2420123279577283
SH01T02	SH01	Proliferation	HALLMARK_E2F_TARGETS	0.06837029577823553
SH01T02	SH01	Proliferation	HALLMARK_G2M_CHECKPOINT	0.1709616857225621
SH01T02	SH01	Proliferation	HO_LIVER_CANCER_VASCULAR_INVASION	0.03519620449423172
SH01T02	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	-0.7382542554790599
SH01T02	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP	-0.17971727432308593
SH01T02	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_DN	-0.20709245691131709
SH01T02	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_UP	-0.11829675033319614
SH01T02	SH01	Proliferation	ImmuneClass	0.6869637150434177
SH01T02	SH01	Proliferation	Exhaused_T_Cell	0.7682222968824693
SH01T02	SH01	Proliferation	Interferon_gamma	0.889581723871582
SH01T02	SH01	Proliferation	Antigen_presenting_cells	0.9629220922533648
SH01T02	SH01	Proliferation	Inflammatory	0.8651511807547978
SH01T02	SH01	Proliferation	Gajewski_13_gene_inflammatory	0.7639264060103517
SH01T02	SH01	Proliferation	Cytolytic_score	0.6788039280591176
SH01T02	SH01	Proliferation	MVI_6_gene	0.35195270802152545
SH01T02	SH01	Proliferation	GEP score	0.02592837357361214
SH01T02	SH01	Proliferation	IMPRES	4
SH01T02	SH01	Proliferation	TIDE	0.91
SH01T03	SH01	Proliferation	HALLMARK_ANGIOGENESIS	0.08520732766538114
SH01T03	SH01	Proliferation	HALLMARK_E2F_TARGETS	0.1767786296446493
SH01T03	SH01	Proliferation	HALLMARK_G2M_CHECKPOINT	0.29134290572580834
SH01T03	SH01	Proliferation	HO_LIVER_CANCER_VASCULAR_INVASION	0.13084058781378322
SH01T03	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	-0.7361653301801896
SH01T03	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP	-0.21115513254348078
SH01T03	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_DN	-0.16036025465733988
SH01T03	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_UP	0.022301484200441424
SH01T03	SH01	Proliferation	ImmuneClass	0.5495677152870428
SH01T03	SH01	Proliferation	Exhaused_T_Cell	0.6559835831353626
SH01T03	SH01	Proliferation	Interferon_gamma	0.7750248316963322
SH01T03	SH01	Proliferation	Antigen_presenting_cells	0.8844074155815475
SH01T03	SH01	Proliferation	Inflammatory	0.7472412271021796
SH01T03	SH01	Proliferation	Gajewski_13_gene_inflammatory	0.7177848386292122
SH01T03	SH01	Proliferation	Cytolytic_score	0.5873331126558184
SH01T03	SH01	Proliferation	MVI_6_gene	0.14297164041786845
SH01T03	SH01	Proliferation	GEP score	-0.011220600408334478
SH01T03	SH01	Proliferation	IMPRES	4
SH01T03	SH01	Proliferation	TIDE	0.99
SH01T05	SH01	Proliferation	HALLMARK_ANGIOGENESIS	0.10315927975737005
SH01T05	SH01	Proliferation	HALLMARK_E2F_TARGETS	0.21091301889396233
SH01T05	SH01	Proliferation	HALLMARK_G2M_CHECKPOINT	0.2683763108683019
SH01T05	SH01	Proliferation	HO_LIVER_CANCER_VASCULAR_INVASION	0.10305206401646361
SH01T05	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_DN	-0.6759501239907422
SH01T05	SH01	Proliferation	MINGUEZ_LIVER_CANCER_VASCULAR_INVASION_UP	-0.2693251955214512
SH01T05	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_DN	-0.22040437472768382
SH01T05	SH01	Proliferation	ROESSLER_LIVER_CANCER_METASTASIS_UP	0.03167732249123345
SH01T05	SH01	Proliferation	ImmuneClass	0.6307038241981324
SH01T05	SH01	Proliferation	Exhaused_T_Cell	0.7493563852831094
SH01T05	SH01	Proliferation	Interferon_gamma	0.8100099326785661
SH01T05	SH01	Proliferation	Antigen_presenting_cells	0.857150739351134
SH01T05	SH01	Proliferation	Inflammatory	0.7815051864930433
SH01T05	SH01	Proliferation	Gajewski_13_gene_inflammatory	0.7354532217529526
SH01T05	SH01	Proliferation	Cytolytic_score	0.5661480745889504
SH01T05	SH01	Proliferation	MVI_6_gene	0.1796201707326247
SH01T05	SH01	Proliferation	GEP score	-0.011915343951549149
SH01T05	SH01	Proliferation	IMPRES	4
SH01T05	SH01	Proliferation	TIDE	0.25
SH02T01	SH02	Hybrid	HALLMARK_ANGIOGENESIS	-0.31535406572667324
